1,1,1,0x0041126c,0x0018ff8c,0x0018ff94,0x76433378,0x7efde000,0x00000000,0x0041126c,0x00000000,0x00000000,0x7643338a,0x7efde000,0x0018ffd4,0x76ec9f72,0x7efde000,0x7c76bb38,0x00000000,0x00000000
2,3,3,0x004110b4,0x0018ff84,0x0018ff88,0x76433378,0x7efde000,0x00000000,0x0041126c,0x00000000,0x00000000,0x0041bfd8,0x0018ff94,0x7643338a,0x7efde000,0x0018ffd4,0x76ec9f72,0x7efde000,0x7c76bb38
3,5,7,0x0041d4ef,0x0018ff68,0x0018ff80,0x76433378,0x7efde000,0x00000000,0x0041126c,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0018ff88,0x0041bfd8
4,13,17,0x0041bfd8,0x0018ff88,0x0018ff88,0x846a0020,0x7efde000,0x846a00a5,0x7b95ff5a,0x00000000,0x00000000,0x0018ff94,0x7643338a,0x7efde000,0x0018ffd4,0x76ec9f72,0x7efde000,0x7c76bb38,0x00000000
5,15,19,0x00411244,0x0018ff40,0x0018ff80,0x0018ff70,0x7efde000,0x846a00a5,0x7b95ff5a,0x00000000,0x00000000,0x0041c036,0x8472ff25,0x00000000,0x00000000,0x7efde000,0x00000000,0x00000000,0x00000000
6,23,31,0x0041bea0,0x0018ff2c,0x0018ff34,0x0041bea0,0x7efde000,0x00420410,0x00420410,0x00000000,0x00000000,0x5c0c24a8,0x00000000,0x0018ff80,0x0041c0b2,0x00420410,0x00420618,0x8472ff25,0x00000000
7,24,32,0x0041c2e0,0x0018ff24,0x0018ff28,0x0041bea0,0x7efde000,0x00420410,0x00420410,0x00000000,0x00000000,0x0041bea8,0x0018ff34,0x5c0c24a8,0x00000000,0x0018ff80,0x0041c0b2,0x00420410,0x00420618
8,25,34,0x0041c302,0x0018ff0c,0x0018ff20,0x00400000,0x7efde000,0x00005a4d,0x00420410,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00400000,0x0018ff28,0x0041bea8,0x0018ff34
9,30,43,0x0041bea8,0x0018ff28,0x0018ff28,0x00000000,0x7efde000,0x00000000,0x00400110,0x00000000,0x00000000,0x0018ff34,0x5c0c24a8,0x00000000,0x0018ff80,0x0041c0b2,0x00420410,0x00420618,0x8472ff25
10,321,76,0x004112df,0x0018fefc,0x0018ff20,0x00000000,0x7efde000,0x5c0d8eb0,0x00000000,0x00000000,0x00000000,0x0041d227,0x00000000,0x00010000,0x00030000,0x00422480,0x004224f8,0x0042252c,0x0000001f
11,326,82,0x0041d277,0x0018ff00,0x0018ff00,0x00000000,0x7efde000,0x0008001f,0x0008001f,0x00000000,0x00000000,0x0018ff20,0x0041d230,0x00000000,0x00422480,0x004224f8,0x0042252c,0x0000001f,0x00000000
