18,18,0x0041bff0,"55  _|_ 8B EC  _|_ 6A FE  _|_ 68 08 32 42 00  _|_ 68 FF 10 41 00  _|_ 64 A1 00 00 00 00  _|_ 50  _|_ 83 C4 E4  _|_ 53  _|_ 56  _|_ 57  _|_ A1 84 40 42 00  _|_ 31 45 F8  _|_ 33 C5  _|_ 50  _|_ 8D 45 F0  _|_ 64 A3 00 00 00 00  _|_ 89 65 E8  _|_ C7 45 FC 00 00 00 00  _|_ C7 45 DC 00 00 00 00  _|_ E8 0E 52 FF FF  _|_ ","push ebp _|_ mov ebp, esp _|_ push 0xfffffffe _|_ push 0x423208 _|_ push 0x4110ff _|_ mov eax, dword ptr fs:[0x0] _|_ push eax _|_ add esp, 0xffffffe4 _|_ push ebx _|_ push esi _|_ push edi _|_ mov eax, dword ptr [0x424084] _|_ xor dword ptr [ebp-0x8], eax _|_ xor eax, ebp _|_ push eax _|_ lea eax, ptr [ebp-0x10] _|_ mov dword ptr fs:[0x0], eax _|_ mov dword ptr [ebp-0x18], esp _|_ mov dword ptr [ebp-0x4], 0x0 _|_ mov dword ptr [ebp-0x24], 0x0 _|_ call 0x411244 _|_ "
19,19,0x00411244,"E9 87 B0 00 00  _|_ ","jmp 0x41c2d0 _|_ "
20,20,0x0041c2d0,"55  _|_ 8B EC  _|_ 64 A1 18 00 00 00  _|_ 5D  _|_ C3  _|_ ","push ebp _|_ mov ebp, esp _|_ mov eax, dword ptr fs:[0x18] _|_ pop ebp _|_ ret  _|_ "
21,21,0x0041c036,"8B 40 04  _|_ 89 45 E0  _|_ C7 45 E4 00 00 00 00  _|_ 6A 00  _|_ 8B 4D E0  _|_ 51  _|_ 68 44 47 42 00  _|_ FF 15 8C 53 42 00  _|_ ","mov eax, dword ptr [eax+0x4] _|_ mov dword ptr [ebp-0x20], eax _|_ mov dword ptr [ebp-0x1c], 0x0 _|_ push 0x0 _|_ mov ecx, dword ptr [ebp-0x20] _|_ push ecx _|_ push 0x424744 _|_ call dword ptr [0x42538c] _|_ "
22,22,0x0041c054,"89 45 DC  _|_ 83 7D DC 00  _|_ 74 1E  _|_ ","mov dword ptr [ebp-0x24], eax _|_ cmp dword ptr [ebp-0x24], 0x0 _|_ jz 0x41c07b _|_ "
23,22,0x0041c05d,"8B 55 DC  _|_ 3B 55 E0  _|_ 75 09  _|_ ","mov edx, dword ptr [ebp-0x24] _|_ cmp edx, dword ptr [ebp-0x20] _|_ jnz 0x41c06e _|_ "
24,22,0x0041c065,"C7 45 E4 01 00 00 00  _|_ EB 0D  _|_ ","mov dword ptr [ebp-0x1c], 0x1 _|_ jmp 0x41c07b _|_ "
25,25,0x0041c07b,"83 3D 34 47 42 00 01  _|_ 75 0C  _|_ ","cmp dword ptr [0x424734], 0x1 _|_ jnz 0x41c090 _|_ "
26,25,0x0041c084,"6A 1F  _|_ E8 9A 52 FF FF  _|_ ","push 0x1f _|_ call 0x411325 _|_ "
27,27,0x0041c090,"83 3D 34 47 42 00 00  _|_ 75 38  _|_ ","cmp dword ptr [0x424734], 0x0 _|_ jnz 0x41c0d1 _|_ "
